Borough,Zipcode,Year,Month,Average Sale Price
Manhattan,10018,2021,November,0
Manhattan,10019,2021,November,2433745.417
Manhattan,10021,2021,November,1646192.857
Manhattan,10022,2021,November,1592438.951
Manhattan,10023,2021,November,3928161.588
Manhattan,10024,2021,November,4285427.722
Manhattan,10025,2021,November,1750182.386
Manhattan,10026,2021,November,1399612.935
Manhattan,10027,2021,November,3389989.857
Manhattan,10028,2021,November,1536192.292
Manhattan,10029,2021,November,1495891.792
Manhattan,10030,2021,November,1001964.214
Manhattan,10031,2021,November,271521.0714
Manhattan,10032,2021,November,9837582.7
Manhattan,10033,2021,November,690371
Manhattan,10034,2021,November,1203090.909
Manhattan,10035,2021,November,571185.2941
Manhattan,10036,2021,November,16044081.38
Manhattan,10037,2021,November,9073750
Manhattan,10038,2021,November,2479015.821
Manhattan,10039,2021,November,688500
Manhattan,10040,2021,November,488192.3077
Manhattan,10044,2021,November,551874.5357
Manhattan,10065,2021,November,2261162.269
Manhattan,10069,2021,November,2240810.136
Manhattan,10075,2021,November,1917804.688
Manhattan,10128,2021,November,689909.8235
Manhattan,10280,2021,November,771171.5714
Manhattan,10282,2021,November,0
Manhattan,10463,2021,November,916400
Manhattan,10001,2021,December,71106756.27
Manhattan,10002,2021,December,11332769.67
Manhattan,10003,2021,December,3182534.459
Manhattan,10004,2021,December,5883317.292
Manhattan,10005,2021,December,5447569.579
Manhattan,10006,2021,December,1305973.333
Manhattan,10007,2021,December,7211883.542
Manhattan,10009,2021,December,3465629.032
Manhattan,10010,2021,December,9834688.909
Manhattan,10011,2021,December,8487769.054
Manhattan,10012,2021,December,10388017.42
Manhattan,10013,2021,December,16300782
Manhattan,10014,2021,December,4252528.81
Manhattan,10016,2021,December,1589680.654
Manhattan,10017,2021,December,2728902.298
Manhattan,10018,2021,December,13780000
Manhattan,10019,2021,December,7991251.753
Manhattan,10021,2021,December,5261870.758
Manhattan,10022,2021,December,3182182.39
Manhattan,10023,2021,December,2682477.572
Manhattan,10024,2021,December,3036852.692
Manhattan,10025,2021,December,5654184.24
Manhattan,10026,2021,December,5290818.87
Manhattan,10027,2021,December,10862986.48
Manhattan,10028,2021,December,2751742.258
Manhattan,10029,2021,December,34584854.41
Manhattan,10030,2021,December,1961193.533
Manhattan,10031,2021,December,3419066.4
Manhattan,10032,2021,December,3819842.053
Manhattan,10033,2021,December,1171692.308
Manhattan,10034,2021,December,21704311.17
Manhattan,10035,2021,December,2667100
Manhattan,10036,2021,December,19449997.81
Manhattan,10037,2021,December,162505
Manhattan,10038,2021,December,7933636.513
Manhattan,10039,2021,December,473000.6
Manhattan,10040,2021,December,1770642.857
Manhattan,10044,2021,December,1015277.6
Manhattan,10065,2021,December,7414697.787
Manhattan,10069,2021,December,1653386.364
Manhattan,10075,2021,December,2526180.284
Manhattan,10128,2021,December,6840028.263
Manhattan,10280,2021,December,641604.7407
Manhattan,10282,2021,December,3725000
Manhattan,10001,2022,January,2858602.727
Manhattan,10002,2022,January,1551074.381
Manhattan,10003,2022,January,2520130.795
Manhattan,10004,2022,January,2026724.438
Manhattan,10005,2022,January,735937.5
Manhattan,10006,2022,January,1092416.667
Manhattan,10007,2022,January,3136738.095
Manhattan,10009,2022,January,1657643.192
Manhattan,10010,2022,January,1595413.696
Manhattan,10011,2022,January,2231667.965
Manhattan,10012,2022,January,10441072.39
Manhattan,10013,2022,January,5239493.543
Manhattan,10014,2022,January,2415669.942
Manhattan,10016,2022,January,1703951.56
Manhattan,10017,2022,January,943898.7805
Manhattan,10018,2022,January,5609697
Manhattan,10019,2022,January,2057232.414
Manhattan,10021,2022,January,2221590.456
Manhattan,10022,2022,January,1364064.895
Manhattan,10023,2022,January,2285819.646
Manhattan,10024,2022,January,2211730.5
Manhattan,10025,2022,January,1418591.846
Manhattan,10026,2022,January,1112657.762
Manhattan,10027,2022,January,1112669.375
Manhattan,10028,2022,January,1840351.132
Manhattan,10029,2022,January,2174659.375
Manhattan,10030,2022,January,951220
Manhattan,10031,2022,January,675643.5714
Manhattan,10032,2022,January,986528.3571
Manhattan,10033,2022,January,2585653.846
